,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,Drive type,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,Engine type,Transmission,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brakes,Rear Brakes,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Rear Drum Brake Dimensions,Brake Type,ABS Brakes Type,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,TPMS,Curb weight,Fuel tank capacity,Dead Weight Hitch - Max Tongue Weight,Dead Weight Hitch - Max Trailer Weight,Max Trailering Capacity,Weight Distributing Hitch - Max Tongue Weight,Weight Distributing Hitch - Max Trailer Weight,Length,Width,Height,Wheelbase,Front track,Rear track,Ground clearance,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,3rd Row Head Room,3rd Row Leg Room,3rd Row Shoulder Room,3rd Row Hip Room
85,Buick,Encore,2018,4,5,"Transmission, 6-speed automatic, electronically-controlled with overdrive includes Driver Shift Control",Front Wheel Drive,10.36 sec,28 mpg,138 hp,"4,900",148 ft-lbs.,"1,850",4,,					Gas,"Transmission, 6-speed automatic, electronically-controlled with overdrive includes Driver Shift Control",4.58,2.96,1.91,1.45,1.00,0.75,,,3.53,2.94,Independent MacPherson Strut,Torsion Beam,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P215/55R18,P215/55R18,,,,,P215/55R18,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,237 lbs.",14.00 gal.,,,,,,168.41 in.,69.85,65.26 in.,100.60 in.,60.62 in.,60.62 in.,6.22 in.,36.70 ft.,39.58 in.,40.82 in.,54.18 in.,51.65 in.,38.78 in.,35.75 in.,52.55 in.,50.08 in.,,,,
86,Buick,Envision,2018,4,5,"Transmission, 6-speed automatic, electronically-controlled with Driver Shift Control",All Wheel Drive,8.12 sec,24 mpg,197 hp,"6,300",192 ft-lbs.,"4,400",4,2.50 L,					Gas,"Transmission, 6-speed automatic, electronically-controlled with Driver Shift Control",,,,,,,,,3.50,,MacPherson Strut,- TBD -,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P225/60R18,P225/60R18,,,,,P225/60R18,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,929 lbs.",17.30 gal.,,,,,,183.70 in.,72.40,66.80 in.,108.30 in.,62.00 in.,62.00 in.,,36.40 ft.,40.00 in.,40.90 in.,57.00 in.,54.40 in.,38.50 in.,37.50 in.,55.80 in.,53.10 in.,,,,
87,Buick,LaCrosse,2018,4,5,"Transmission, 9-speed automatic (Requires (LGX) 3.6L V6 Engine.)",All Wheel Drive,5.68 sec,23 mpg,310 hp,"6,800",268 ft-lbs.,"5,200",6,3.60 L,					Gas,"Transmission, 9-speed automatic (Requires (LGX) 3.6L V6 Engine.)",,,,,,,,,2.90,,MacPherson Strut,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P245/45R19,P245/45R19,,,,,P245/45R19,T125/70R17,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,840 lbs.",15.80 gal.,100 lbs,"1,000 lbs",,100 lbs,"1,000 lbs",197.50 in.,73.50,57.50 in.,114.40 in.,62.90 in.,63.10 in.,,38.00 ft.,38.40 in.,42.00 in.,57.70 in.,54.80 in.,37.20 in.,38.00 in.,56.60 in.,55.10 in.,,,,
88,Buick,Regal Sportback,2018,4,5,"Transmission, 8-speed automatic",All Wheel Drive,7.01 sec,24 mpg,250 hp,"5,400",295 ft-lbs.,,4,2.00 L,					Gas,"Transmission, 8-speed automatic",,,,,,,,,3.08,,MacPherson Strut,5-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,245/45R18,245/45R18,,,,,245/45R18,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"4,096 lbs.",16.30 gal.,,,,,,192.90 in.,73.30,57.30 in.,111.40 in.,62.80 in.,63.00 in.,,41.00 ft.,38.80 in.,42.10 in.,56.90 in.,55.20 in.,37.40 in.,36.90 in.,55.40 in.,54.10 in.,,,,
89,Buick,Regal TourX,2018,4,5,"Transmission, 8-speed automatic",All Wheel Drive,6.50 sec,24 mpg,250 hp,"5,400",295 ft-lbs.,,4,2.00 L,					Gas,"Transmission, 8-speed automatic",,,,,,,,,3.08,,MacPherson Strut,5-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P235/50R18,P235/50R18,,,,,P235/50R18,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"3,708 lbs.",16.30 gal.,,,,,,196.30 in.,73.30,58.40 in.,111.40 in.,62.80 in.,63.00 in.,,40.00 ft.,38.80 in.,42.10 in.,56.90 in.,55.20 in.,39.60 in.,36.90 in.,55.40 in.,54.10 in.,,,,
90,Cadillac,ATS,2018,,, 8-speed shiftable automatic, Rear wheel drive,5.93 sec,,272 hp,"5,500",295 ft-lbs.,"3,000",4,2.00 L,					Gas, 8-speed shiftable automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,373 lbs.",16.00 gal.,,,,,,182.80 in.,71.10,55.90 in.,109.30 in.,,,,36.40 ft.,38.60 in.,42.50 in.,55.20 in.,53.00 in.,36.80 in.,33.50 in.,53.90 in.,52.30 in.,,,,
91,Cadillac,ATS Coupe,2018,2,4,"Transmission, 8-speed automatic",All Wheel Drive,5.74 sec,25 mpg,272 hp,"5,500",295 ft-lbs.,"3,000",4,2.00 L,					Gas,"Transmission, 8-speed automatic",4.62,3.04,2.07,1.66,1.26,1.00,0.85,0.66,3.27,3.93,MacPherson Strut,Five-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P225/40R18,P255/35R18,,,,,P255/35R18,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"3,418 lbs.",16.00 gal.,,,,,,183.60 in.,72.50,54.80 in.,109.30 in.,60.30 in.,61.70 in.,,38.05 ft.,37.60 in.,42.30 in.,54.10 in.,54.10 in.,35.10 in.,33.50 in.,51.10 in.,44.50 in.,,,,
92,Cadillac,ATS Sedan,2018,4,5,"Transmission, 8-speed automatic",All Wheel Drive,5.69 sec,25 mpg,272 hp,"5,500",295 ft-lbs.,"3,000",4,2.00 L,					Gas,"Transmission, 8-speed automatic",4.62,3.04,2.07,1.66,1.26,1.00,0.85,0.66,3.27,3.93,MacPherson Strut,Five-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P225/45R17,P225/45R17,,,,,P225/45R17,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"3,373 lbs.",16.00 gal.,,,,,,182.80 in.,71.10,55.90 in.,109.30 in.,59.50 in.,60.90 in.,,38.05 ft.,38.60 in.,42.50 in.,55.20 in.,53.00 in.,36.80 in.,33.50 in.,53.90 in.,52.30 in.,,,,
93,Cadillac,ATS-V,2018,,, 6-speed manual, Rear wheel drive,4.06 sec,,464 hp,"5,850",445 ft-lbs.,"3,500",6,3.60 L,					Gas, 6-speed manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,812 lbs.",16.00 gal.,,,,,,184.00 in.,71.30,55.70 in.,109.30 in.,,,,38.40 ft.,38.60 in.,42.30 in.,54.10 in.,54.10 in.,35.10 in.,33.50 in.,51.10 in.,44.50 in.,,,,
94,Cadillac,ATS-V Coupe,2018,2,4,"Transmission, 6-speed manual (Upgradeable to (M5U) 8-speed automatic transmission)",Rear Wheel Drive,4.05 sec,19 mpg,464 hp,"5,850",445 ft-lbs.,"3,500",6,3.60 L,					Gas,"Transmission, 6-speed manual (Upgradeable to (M5U) 8-speed automatic transmission)",3.01,2.07,1.43,1.00,0.84,0.57,,,3.73,3.28,MacPherson Strut,Independent Five-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P255/35ZR18,P275/35ZR18,,,,,P275/35ZR18,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"3,803 lbs.",16.00 gal.,,,,,,184.70 in.,72.50,54.50 in.,109.30 in.,60.50 in.,61.40 in.,,38.38 ft.,37.60 in.,42.30 in.,54.10 in.,54.10 in.,35.10 in.,33.50 in.,51.10 in.,44.50 in.,,,,
95,Cadillac,ATS-V Sedan,2018,4,5,"Transmission, 6-speed manual (Upgradeable to (M5U) 8-speed automatic transmission)",Rear Wheel Drive,4.06 sec,19 mpg,464 hp,"5,850",445 ft-lbs.,"3,500",6,3.60 L,					Gas,"Transmission, 6-speed manual (Upgradeable to (M5U) 8-speed automatic transmission)",3.01,2.07,1.43,1.00,0.84,0.57,,,3.73,3.28,MacPherson Strut,Independent Five-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P255/35ZR18,P275/35ZR18,,,,,P275/35ZR18,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"3,812 lbs.",16.00 gal.,,,,,,184.00 in.,71.30,55.70 in.,109.30 in.,60.50 in.,60.40 in.,,38.38 ft.,38.60 in.,42.30 in.,54.10 in.,54.10 in.,35.10 in.,33.50 in.,51.10 in.,44.50 in.,,,,
96,Cadillac,CT6,2018,4,5,,Rear Wheel Drive,,25 mpg,265 hp,"5,500",,,4,2.00 L,					Gas,,,,,,,,,,3.27,,Independent,Independent,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P235/50R18,P265/45R18,,,,,P265/45R18,NA,Aluminum,Aluminum,NA,,"4,537 lbs.",15.60 gal.,,,,,,204.10 in.,74.00,58.00 in.,122.40 in.,63.40 in.,64.00 in.,,,40.20 in.,46.40 in.,58.30 in.,55.90 in.,38.06 in.,40.40 in.,56.20 in.,53.50 in.,,,,
97,Cadillac,CTS,2018,4,5,"Transmission, 8-speed automatic",All Wheel Drive,6.30 sec,24 mpg,268 hp,"5,600",295 ft-lbs.,,4,2.00 L,					Gas,"Transmission, 8-speed automatic",4.62,3.04,2.07,1.66,1.26,1.00,0.85,0.66,3.27,3.93,MacPherson Strut,Independent Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,Yes,P245/45R17,P245/45R17,,,,,P245/45R17,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"3,814 lbs.",19.00 gal.,100 lbs,"1,000 lbs",,,,195.50 in.,72.20,57.20 in.,114.60 in.,61.40 in.,61.70 in.,,37.10 ft.,40.40 in.,45.70 in.,56.90 in.,53.80 in.,37.50 in.,35.40 in.,54.80 in.,53.30 in.,,,,
98,Cadillac,CTS-V,2018,4,5,"Transmission, 8-speed automatic",Rear Wheel Drive,3.64 sec,17 mpg,640 hp,"6,400",630 ft-lbs.,"3,600",8,6.20 L,					Gas,"Transmission, 8-speed automatic",4.56,2.97,2.08,1.69,1.27,1.00,0.85,0.65,2.85,3.82,MacPherson Strut,Independent Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P265/35R19,P295/30ZR19,,,,,P295/30ZR19,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"4,141 lbs.",19.00 gal.,,,,,,197.60 in.,72.20,57.20 in.,114.60 in.,62.10 in.,61.20 in.,,40.30 ft.,40.40 in.,45.70 in.,56.90 in.,53.80 in.,37.50 in.,35.40 in.,54.80 in.,53.30 in.,,,,
99,Cadillac,Escalade,2018,4,7,"Transmission, 10-speed automatic electronically controlled with overdrive, tow/haul mode and tap up/tap down shifting",Rear Wheel Drive,,17 mpg,420 hp,"5,600",460 ft-lbs.,"4,100",8,6.20 L,					Gas,"Transmission, 10-speed automatic electronically controlled with overdrive, tow/haul mode and tap up/tap down shifting",,,,,,,,,,,Independent,5-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P275/55R20,P275/55R20,,,,,P275/55R20,P265/70R17,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,,26.00 gal.,500 lbs,"5,000 lbs",,830 lbs,"8,300 lbs",,80.50,74.40 in.,116.00 in.,,,,39.00 ft.,42.80 in.,45.30 in.,64.90 in.,60.90 in.,38.70 in.,39.00 in.,64.40 in.,60.20 in.,38.10 in.,24.80 in.,62.60 in.,49.30 in.
100,Cadillac,Escalade ESV,2018,4,7,"Transmission, 10-speed automatic electronically controlled with overdrive, tow/haul mode and tap up/tap down shifting",Rear Wheel Drive,,17 mpg,420 hp,"5,600",460 ft-lbs.,"4,100",8,6.20 L,					Gas,"Transmission, 10-speed automatic electronically controlled with overdrive, tow/haul mode and tap up/tap down shifting",,,,,,,,,,,Independent,5-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P285/45R22,P285/45R22,,,,,P285/45R22,P265/70R17,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,,31.00 gal.,500 lbs,"5,000 lbs",,810 lbs,"8,100 lbs",,80.50,74.00 in.,130.00 in.,,,,43.00 ft.,39.70 in.,45.30 in.,64.90 in.,60.90 in.,39.10 in.,39.70 in.,64.40 in.,60.20 in.,38.50 in.,34.50 in.,62.60 in.,49.30 in.
101,Cadillac,XT5,2018,,, 8-speed shiftable automatic, Front wheel drive,6.60 sec,,310 hp,"6,700",270 ft-lbs.,"4,900",6,3.60 L,					Gas, 8-speed shiftable automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,985 lbs.",19.40 gal.,,,,,,189.50 in.,75.00,66.00 in.,112.50 in.,,,,,38.40 in.,41.20 in.,58.30 in.,56.00 in.,36.00 in.,39.50 in.,56.20 in.,54.70 in.,,,,
102,Cadillac,XT5 Crossover,2018,4,5,"Transmission, 8-speed automatic",All Wheel Drive,6.14 sec,21 mpg,310 hp,"6,600",271 ft-lbs.,"5,000",6,3.60 L,					Gas,"Transmission, 8-speed automatic",,,,,,,,,,,- TBD -,- TBD -,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P235/65R18,P235/65R18,,,,,P235/65R18,NA,Aluminum,Aluminum,- TBD -,					Tire Pressure Monitor,"4,257 lbs.",21.70 gal.,,,,350 lbs,"3,500 lbs",189.50 in.,75.00,66.00 in.,112.50 in.,64.40 in.,64.40 in.,7.80 in.,,38.40 in.,41.20 in.,58.30 in.,56.00 in.,36.00 in.,39.50 in.,56.20 in.,54.70 in.,,,,
103,Cadillac,XTS,2018,4,5,"Transmission, 6-speed automatic",Front Wheel Drive,6.75 sec,,304 hp,"6,800",264 ft-lbs.,"5,300",6,3.60 L,					Gas,"Transmission, 6-speed automatic",4.48,2.87,1.84,1.41,1.00,0.74,,,2.39,2.88,MacPherson Strut,Linked H-Arm,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,,4-Wheel,P235/55R18,P235/55R18,,,,,P235/55R18,P235/55R18,Aluminum,Aluminum,Aluminum,					Tire Pressure Monitor,"4,028 lbs.",19.00 gal.,100 lbs,"1,000 lbs",,100 lbs,"1,000 lbs",,,,,,,,38.70 ft.,,,,,,,,,,,,
104,Chevrolet,Bolt EV,2018,4,5,,Front Wheel Drive,,,200 hp,,266 ft-lbs.,,,,					Electric,,,,,,,,,,7.05,,Independent,Semi-independent,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P215/50R17,P215/50R17,,,,,P215/50R17,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"3,563 lbs.",,,,,,,164.00 in.,69.50,62.80 in.,102.40 in.,59.10 in.,59.10 in.,,35.40 ft.,39.70 in.,41.60 in.,54.60 in.,51.60 in.,37.90 in.,36.50 in.,52.80 in.,50.80 in.,,,,
105,Chevrolet,Camaro,2018,2,4,"Transmission, 6-speed manual",Rear Wheel Drive,5.81 sec,23 mpg,275 hp,"5,600",295 ft-lbs.,,4,2.00 L,					Gas,"Transmission, 6-speed manual",,,,,,,,,,,MacPherson Strut,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P245/50R18,P245/50R18,,,,,P245/50R18,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"3,647 lbs.",19.00 gal.,,,,,,188.30 in.,74.70,52.90 in.,110.70 in.,62.50 in.,63.70 in.,,,38.40 in.,43.90 in.,55.00 in.,54.50 in.,,,,,,,,
106,Chevrolet,City Express Cargo Van,2018,4,2,,Front Wheel Drive,,25 mpg,131 hp,"5,200",139 ft-lbs.,"4,900",4,2.00 L,					Gas,,,,,,,,,,,0.75,MacPherson Strut,Multi-Stage,					Front Disc Brakes,					Rear Drum Brakes,,,9.0 x - TBD - in.,					ABS Brakes,4-Wheel,"185/60R15C, 95/92T TL","185/60R15C, 95/92T TL",,,,,"185/60R15C, 95/92T TL",Full-Size,Steel,Steel,Steel,					Tire Pressure Monitor,,14.50 gal.,,,,,,,68.10,73.70 in.,115.20 in.,,,,36.70 ft.,41.70 in.,42.60 in.,54.10 in.,51.30 in.,,,,,,,,
107,Chevrolet,Colorado,2018,4,5,"Transmission, 6-speed automatic, HMD, 6L50 (Standard on Crew Cab Short Box and Extended Cab models. Requires (LCV) 2.5L I4 engine or (LWN) 2.8L Duramax Turbo-Diesel engine. Available on Crew Cab Long Box models.)",Rear Wheel Drive,,22 mpg,200 hp,"6,300",191 ft-lbs.,"4,400",4,2.50 L,					Gas,"Transmission, 6-speed automatic, HMD, 6L50 (Standard on Crew Cab Short Box and Extended Cab models. Requires (LCV) 2.5L I4 engine or (LWN) 2.8L Duramax Turbo-Diesel engine. Available on Crew Cab Long Box models.)",,,,,,,,,,,Independent,Multi-Leaf,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P255/65R17,P255/65R17,,,,,P255/65R17,T175/80R18,Aluminum,Aluminum,Aluminum,					Tire Pressure Monitor,,21.00 gal.,350 lbs,"3,500 lbs","7,700 lbs",350 lbs,"3,500 lbs",,74.30,70.70 in.,128.30 in.,,,,41.30 ft.,41.40 in.,45.00 in.,57.50 in.,55.00 in.,38.30 in.,35.80 in.,56.20 in.,53.30 in.,,,,
108,Chevrolet,Corvette,2018,2,2,"Transmission, 7-speed manual with Active Rev Matching with Z51 performance ratios",Rear Wheel Drive,3.82 sec,19 mpg,460 hp,"6,000",465 ft-lbs.,"4,600",8,6.20 L,					Gas,"Transmission, 7-speed manual with Active Rev Matching with Z51 performance ratios",2.97,2.07,1.43,1.00,0.71,0.57,0.48,,3.42,2.90,Short/Long Arm,Short/Long Arm,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P285/30ZR19,P335/25ZR20,,,,,P335/25ZR20,NA,Aluminum,Aluminum,NA,,"3,487 lbs.",18.50 gal.,,,,,,177.90 in.,77.40,48.70 in.,106.70 in.,63.50 in.,62.50 in.,,37.70 ft.,37.90 in.,43.00 in.,55.20 in.,53.70 in.,,,,,,,,
109,Chevrolet,Cruze,2018,4,5,"Transmission, 6-speed manual",Front Wheel Drive,,31 mpg,153 hp,"5,600",177 ft-lbs.,,4,1.40 L,					Gas,"Transmission, 6-speed manual",,,,,,,,,3.65,,MacPherson Strut,Compound Crank,					Front Disc Brakes,					Rear Disc Brakes,,,- TBD - in.,					ABS Brakes,4-Wheel,205/55R16,205/55R16,,,,,205/55R16,T115/70R16,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,,13.70 gal.,,,,,,175.30 in.,70.50,57.70 in.,106.30 in.,,,,,38.90 in.,42.00 in.,54.90 in.,53.20 in.,37.30 in.,36.10 in.,53.20 in.,51.90 in.,,,,
110,Chevrolet,Equinox,2018,4,5,"Transmission, 6-speed automatic, electronically-controlled with overdrive includes Driver Shift Control",All Wheel Drive,8.25 sec,26 mpg,170 hp,"5,600",203 ft-lbs.,,4,1.50 L,					Gas,"Transmission, 6-speed automatic, electronically-controlled with overdrive includes Driver Shift Control",,,,,,,,,3.87,,MacPherson Strut,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,,,- TBD - in.,					ABS Brakes,4-Wheel,P225/65R17,P225/65R17,,,,,P225/65R17,T135/70R16,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,465 lbs.",15.60 gal.,150 lbs,"1,500 lbs",,,,183.10 in.,72.60,65.40 in.,107.30 in.,62.20 in.,62.20 in.,,,40.00 in.,40.90 in.,57.20 in.,54.20 in.,38.50 in.,39.70 in.,55.50 in.,51.70 in.,,,,
111,Chevrolet,Express Passenger,2018,3,12,"Transmission, 8-speed automatic, electronically controlled with overdrive and tow/haul mode. Includes Cruise Grade Braking and Powertrain Grade Braking (Requires (LV1) 4.3L V6 SIDI engine or (LWN) 2.8L Duramax Turbo-Diesel engine.)",Rear Wheel Drive,,,276 hp,"5,200",298 ft-lbs.,"3,900",6,4.30 L,					Gas,"Transmission, 8-speed automatic, electronically controlled with overdrive and tow/haul mode. Includes Cruise Grade Braking and Powertrain Grade Braking (Requires (LV1) 4.3L V6 SIDI engine or (LWN) 2.8L Duramax Turbo-Diesel engine.)",,,,,,,,,,,Coil Spring,Hypoid Drive,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,LT245/75R16E,LT245/75R16E,,,,,LT245/75R16E,LT245/75R16E,Steel,Steel,Steel,					Tire Pressure Monitor,,31.00 gal.,500 lbs,"5,000 lbs","9,800 lbs",870 lbs,"8,700 lbs",,79.20,83.90 in.,135.00 in.,,,,49.20 ft.,39.80 in.,41.30 in.,68.80 in.,65.50 in.,38.40 in.,36.30 in.,68.60 in.,68.60 in.,38.50 in.,36.60 in.,65.80 in.,63.30 in.
112,Chevrolet,Impala,2018,4,5,"Transmission, 6-speed automatic (Included and only available with (LCV) 2.5L engine.)",Front Wheel Drive,,25 mpg,197 hp,"6,300",191 ft-lbs.,"4,400",4,2.50 L,					Gas,"Transmission, 6-speed automatic (Included and only available with (LCV) 2.5L engine.)",4.58,2.96,1.91,1.45,1.00,0.75,,,3.23,2.94,MacPherson Strut,Multi-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P235/50R18,P235/50R18,,,,,P235/50R18,T125/70R17,Steel,Steel,Steel,,,18.50 gal.,100 lbs,"1,000 lbs",,100 lbs,"1,000 lbs",201.30 in.,73.00,58.90 in.,111.70 in.,62.20 in.,62.00 in.,,38.80 ft.,39.90 in.,45.80 in.,57.90 in.,54.90 in.,37.40 in.,39.80 in.,56.90 in.,54.10 in.,,,,
113,Chevrolet,Malibu,2018,4,5,,Front Wheel Drive,,46 mpg,124 hp,"5,000",129 ft-lbs.,"4,750",4,1.80 L,					Gas,,,,,,,,,,2.64,,MacPherson Strut,Four-Link,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P225/55R17,P225/55R17,,,,,P225/55R17,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"3,457 lbs.",13.00 gal.,,,,,,193.80 in.,73.00,57.60 in.,111.40 in.,62.60 in.,62.50 in.,,37.00 ft.,39.10 in.,42.00 in.,58.50 in.,54.10 in.,37.50 in.,38.10 in.,57.10 in.,53.40 in.,,,,
114,Chevrolet,Silverado 1500,2018,4,6,"Transmission, 6-speed automatic, electronically controlled with overdrive and tow/haul mode. Includes Cruise Grade Braking and Powertrain Grade Braking",Rear Wheel Drive,,20 mpg,285 hp,"5,300",305 ft-lbs.,"3,900",6,4.30 L,					Gas,"Transmission, 6-speed automatic, electronically controlled with overdrive and tow/haul mode. Includes Cruise Grade Braking and Powertrain Grade Braking",4.03,2.36,1.53,1.15,0.85,0.67,,,,3.06,Independent,2-Stage Multi-Leaf,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,P275/55R20,P275/55R20,,,,,P275/55R20,P265/70R17,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,,26.00 gal.,500 lbs,"5,000 lbs","11,100 lbs",550 lbs,"5,500 lbs",,80.00,74.17 in.,143.50 in.,,,,47.20 ft.,42.80 in.,45.27 in.,66.03 in.,60.73 in.,40.50 in.,40.93 in.,65.73 in.,60.27 in.,,,,
115,Chevrolet,Silverado 2500HD,2018,4,5,"Transmission, 6-speed automatic, heavy-duty, electronically controlled with overdrive and tow/haul mode. Includes Cruise Grade Braking and Powertrain Grade Braking (Requires (L96) Vortec 6.0L V8 SFI engine or (LC8) 6.0L V8 SFI Gaseous CNG/LPG capable engine.)",Rear Wheel Drive,,,360 hp,"5,400",380 ft-lbs.,"4,200",8,6.00 L,					Gas,"Transmission, 6-speed automatic, heavy-duty, electronically controlled with overdrive and tow/haul mode. Includes Cruise Grade Braking and Powertrain Grade Braking (Requires (L96) Vortec 6.0L V8 SFI engine or (LC8) 6.0L V8 SFI Gaseous CNG/LPG capable engine.)",4.03,2.36,1.53,1.15,0.85,0.67,,,,3.06,Independent,Multi-Leaf,					Front Disc Brakes,					Rear Disc Brakes,,,NA in.,					ABS Brakes,4-Wheel,LT265/60R20E,LT265/60R20E,,,,,LT265/60R20E,LT245/75R17E,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,,36.00 gal.,500 lbs,"5,000 lbs","13,000 lbs","1,300 lbs","13,000 lbs",,80.51,78.27 in.,153.70 in.,,,,51.50 ft.,42.80 in.,45.27 in.,64.84 in.,60.73 in.,40.50 in.,40.93 in.,64.33 in.,60.24 in.,,,,
116,Chevrolet,Sonic,2018,4,5,"Transmission, 5-speed manual",Front Wheel Drive,8.59 sec,29 mpg,138 hp,"6,300",125 ft-lbs.,"3,800",4,1.80 L,					Gas,"Transmission, 5-speed manual",3.73,2.14,1.41,1.12,0.89,,,,3.94,3.31,MacPherson Strut,Semi-Independent Torsion Beam,					Front Disc Brakes,					Rear Drum Brakes,,,9.0 x - TBD - in.,					ABS Brakes,4-Wheel,P195/65R15,P195/65R15,,,,,P195/65R15,T115/70R16,Steel,Steel,- TBD -,					Tire Pressure Monitor,"2,773 lbs.",12.20 gal.,,,,,,173.90 in.,68.30,59.70 in.,99.40 in.,59.40 in.,59.40 in.,,34.50 ft.,38.70 in.,41.80 in.,53.40 in.,51.40 in.,37.80 in.,34.60 in.,53.00 in.,51.60 in.,,,,
117,Chevrolet,Spark,2018,4,4,"Transmission, 5-speed manual",Front Wheel Drive,9.54 sec,32 mpg,98 hp,"6,200",94 ft-lbs.,"4,400",4,1.40 L,					Gas,"Transmission, 5-speed manual",,,,,,,,,3.91,,MacPherson Strut,Compound Crank,					Front Disc Brakes,					Rear Drum Brakes,,,- TBD - in.,					ABS Brakes,4-Wheel,P185/55R15,P185/55R15,,,,,P185/55R15,T105/70D14,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"2,266 lbs.",9.20 gal.,,,,,,143.10 in.,62.80,58.76 in.,93.90 in.,54.50 in.,54.50 in.,,33.80 ft.,39.00 in.,41.70 in.,50.80 in.,48.20 in.,37.00 in.,33.00 in.,49.80 in.,48.00 in.,,,,
